Date,GPR,GPR_percentile,GPR_regime
2007-08,83.17320251464844,31.2625250501002,LOW
2007-09,94.4888687133789,52.10420841683367,MODERATE
2007-10,101.47301483154295,62.12424849699399,MODERATE
2007-11,89.79544830322266,44.68937875751503,LOW
2007-12,94.96749114990234,53.30661322645291,MODERATE
2008-01,81.49982452392578,27.45490981963928,LOW
2008-02,80.75146484375,26.452905811623246,LOW
2008-03,77.63613891601562,21.24248496993988,LOW
2008-04,71.9048080444336,14.02805611222445,LOW
2008-05,72.57379913330078,14.629258517034069,LOW
2008-06,87.54842376708984,39.879759519038075,LOW
2008-07,89.73957061767578,44.28857715430862,LOW
2008-08,88.55410766601562,41.68336673346693,LOW
2008-09,88.54255676269531,41.48296593186373,LOW
2008-10,64.15979766845703,8.617234468937877,LOW
2008-11,79.08097076416016,23.04609218436874,LOW
2008-12,92.3664321899414,48.496993987975955,LOW
2009-01,85.36947631835938,35.87174348697395,LOW
2009-02,67.45267486572266,10.420841683366733,LOW
2009-03,72.64462280273438,14.829659318637274,LOW
2009-04,85.6884994506836,36.47294589178357,LOW
2009-05,89.68086242675781,44.08817635270541,LOW
2009-06,81.10958862304688,26.85370741482966,LOW
2009-07,83.43962097167969,32.66533066132265,LOW
2009-08,73.37187957763672,15.430861723446894,LOW
2009-09,92.8399887084961,50.100200400801604,MODERATE
2009-10,90.57640075683594,46.09218436873748,LOW
2009-11,82.10176086425781,29.05811623246493,LOW
2009-12,92.94691467285156,50.30060120240481,MODERATE
2010-01,91.58102416992188,47.69539078156313,LOW
2010-02,80.72535705566406,26.25250501002004,LOW
2010-03,74.116943359375,16.23246492985972,LOW
2010-04,88.76158142089844,42.28456913827655,LOW
2010-05,88.95870971679688,42.68537074148297,LOW
2010-06,96.45369720458984,55.51102204408818,MODERATE
2010-07,79.38137817382812,23.44689378757515,LOW
2010-08,80.99386596679688,26.653306613226455,LOW
2010-09,71.16854858398438,13.42685370741483,LOW
2010-10,65.99193572998047,10.02004008016032,LOW
2010-11,94.70516967773438,52.70541082164329,MODERATE
2010-12,97.20389556884766,56.71342685370742,MODERATE
2011-01,79.42161560058594,23.847695390781563,LOW
2011-02,90.01448822021484,44.88977955911824,LOW
2011-03,136.8883056640625,85.77154308617234,HIGH
2011-04,91.01776885986328,47.294589178356716,LOW
2011-05,105.34491729736328,67.33466933867736,MODERATE
2011-06,84.391845703125,34.46893787575151,LOW
2011-07,78.92475891113281,22.44488977955912,LOW
2011-08,86.95156860351562,38.677354709418836,LOW
2011-09,83.35044860839844,31.663326653306616,LOW
2011-10,76.33993530273438,19.839679358717436,LOW
2011-11,83.15767669677734,31.062124248496996,LOW
2011-12,85.34132385253906,35.671342685370746,LOW
2012-01,79.63497161865234,24.448897795591183,LOW
2012-02,92.4458236694336,49.098196392785574,LOW
2012-03,88.75997924804688,42.08416833667335,LOW
2012-04,96.01668548583984,54.30861723446894,MODERATE
2012-05,78.17115783691406,22.044088176352705,LOW
2012-06,77.82243347167969,21.643286573146295,LOW
2012-07,82.80802154541016,30.460921843687377,LOW
2012-08,74.87835693359375,17.43486973947896,LOW
2012-09,69.28050994873047,12.224448897795591,LOW
2012-10,81.66366577148438,28.65731462925852,LOW
